"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","area_basal","n_caule","multicaule","multicaule_l","rel_hd"
"1C",148,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",17.44,62.23,0.47,0.304151164,1,0,"No",0.280250683
"1C",149,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",16.94,68.91,0.47,0.372953237,1,0,"No",0.245827891
"1C",150,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",13.39,47.75,0.47,0.17907569,1,0,"No",0.280418848
"1C",151,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",16.37,34.25,0.47,0.092132113,1,0,"No",0.477956204
"1C",152,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",15.58,66.4,0.47,0.346278909,1,0,"No",0.234638554
"1C",153,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",21.75,49.02,0.47,0.188728068,1,0,"No",0.44369645
"1C",155,"Lecythidaceae","Couroupita","guianensis","Couroupita guianensis","Tree",17.53,49.59,0.47,0.193142611,1,0,"No",0.353498689
"1D",156,"Fabaceae","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",9.07,35.14,0.72,0.096982505,1,0,"No",0.258110415
"1D",157,"Fabaceae","Adenanthera","pavonina","Adenanthera pavonina","Tree",14.49,37.5,0.7,0.110446617,1,0,"No",0.3864
"1D",158,"Chrysobalanaceae",NA,NA,NA,"Tree",13.01,44.88,0.89,0.158196029,1,0,"No",0.289884135
"1D",159,"Fabaceae","Tetrapleura","tetraptera","Tetrapleura tetraptera","Tree",17.01,59.65,0.52,0.279454288,1,0,"No",0.285163453
"1D",161,"Fabaceae","Adenanthera","pavonina","Adenanthera pavonina","Tree",15.4,47.3,0.7,0.175716346,1,0,"No",0.325581395
"1D",162,"Fabaceae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma","Tree",14.78,34.79,0.89,0.095060203,1,0,"No",0.424834723
"1D",163,"Fabaceae","Hymenaea","verrucosa","Hymenaea verrucosa","Tree",16.18,36.73,0.73,0.105957509,1,0,"No",0.440511843
"1D",164,"Fabaceae","Pterogyne","nitens","Pterogyne nitens","Tree",15.19,19.51,0.66,0.029895404,1,0,"No",0.77857509
"1D",165,"Fabaceae","Cenostigma","pluviosum","Cenostigma pluviosum","Tree",21.72,52.27,0.91,0.214582787,1,0,"No",0.415534724
"1D",166,"Fabaceae","Swartzia","apetala","Swartzia apetala","Tree",14.22,27.37,0.85,0.058835504,1,0,"No",0.519546949
"1D",167,"Chrysobalanaceae","Moquilea","tomentosa","Moquilea tomentosa","Tree",18.85,104.72,0.98,0.861289491,1,0,"No",0.18000382
"1D",168,"Fabaceae","Saraca","indica","Saraca indica","Tree",6.23,14.01,0.8,0.015415803,1,0,"No",0.44468237
"1D",171,"Fabaceae","Senna","multijuga","Senna multijuga","Tree",22.04,31.67,0.57,0.078774564,1,0,"No",0.695926745
"1D",173,"Fabaceae","Senna","siamea","Senna siamea","Tree",20.89,63.41,0.65,0.315795101,1,0,"No",0.329443305
"1D",175,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",32.97,52.84,0.52,0.219288319,1,0,"No",0.623959122
"1D",178,"Fabaceae","Peltophorum","dubium","Peltophorum dubium","Tree",20.13,39.79,0.74,0.124347701,1,0,"No",0.505906007
"1D",179,"Fabaceae","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",6.91,14.32,0.72,0.016105563,1,0,"No",0.482541899
"1D",180,"Fabaceae","Exostyles","venusta","Exostyles venusta","Shrub/tree",16.04,30.4,0.72,0.072583357,1,0,"No",0.527631579
"1D",181,"Fabaceae",NA,NA,NA,"Tree",18.75,22.79,0.72,0.040792332,1,0,"No",0.822729267
"1D",182,"Fabaceae","Pterogyne","nitens","Pterogyne nitens","Tree",7.04,15.77494849,0.66,0.019544555,2,1,"Yes",0.44627721
"1D",183,"Fabaceae","Libidibia","ferrea","Libidibia ferrea","Tree",17.47,49.02,1.17,0.188728068,1,0,"No",0.356385149
"1D",186,"Fabaceae","Cassia","ferruginea","Cassia ferruginea","Tree",20.44,59.33,0.5,0.276463994,1,0,"No",0.344513737
"1D",187,"Fabaceae","Sindora","siamensis","Sindora siamensis","Tree",20.89,61.31,0.62,0.29522458,1,0,"No",0.340727451
"1D",189,"Fabaceae","Cassia","ferruginea","Cassia ferruginea","Tree",11.57,11.27,0.5,0.00997557,1,0,"No",1.026619343
"1D",190,"Fabaceae","Platymiscium","floribundum","Platymiscium floribundum","Tree",11.57,22.03,0.89,0.038117014,1,0,"No",0.525192919
"1D",195,"Fabaceae","Plathymenia","reticulata","Plathymenia reticulata","Tree",23.73,141.33,0.52,1.568767557,1,0,"No",0.167904903
"1D",196,"Fabaceae","Peltophorum","dubium","Peltophorum dubium","Tree",17,59.30566668,0.74,0.276237265,2,1,"Yes",0.286650517
"1D",200,"Celastraceae","Brexia","madagascariensis","Brexia madagascariensis","Tree",13.09,32.02,0.62,0.080525334,1,0,"No",0.408806996
"1D",201,"Fabaceae","Senna","hirsuta","Senna hirsuta","Shrub",10.5,19.03,0.6,0.02844248,1,0,"No",0.551760378
"1D",202,"Fabaceae","Mora","paraensis","Mora paraensis","Tree",10.66,32.15,0.88,0.081180521,1,0,"No",0.331570762
"1D",203,"Ebenaceae","Diospyros","tessellaria","Diospyros tessellaria","Tree",7.12,21.17,0.68,0.035199103,1,0,"No",0.336324988
"1D",205,"Fabaceae","Plathymenia","reticulata","Plathymenia reticulata","Tree",25.76,92.63,0.52,0.673896513,1,0,"No",0.278095649
"1D",207,"Fabaceae","Clitoria","fairchildiana","Clitoria fairchildiana","Tree",21.59,57.6886774,0.72,0.261379213,3,1,"Yes",0.374250216
"1D",208,"Fabaceae","Poecilanthe","parviflora","Poecilanthe parviflora","Tree",7.41,15.39472962,0.99,0.018613756,2,1,"Yes",0.481333559
"1D",209,"Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Tree",9.73,26.07202716,0.53,0.053387487,2,1,"Yes",0.373196911
"1D",210,"Fabaceae","Cassia","moschata","Cassia moschata","Tree",24.99,111.8116832,0.71,0.981893199,2,1,"Yes",0.223500794
"1D",212,"Fabaceae","Dalbergia","assamica","Dalbergia assamica","Tree",18.58,71.46,0.79,0.401066054,1,0,"No",0.260005598
"1E",214,"Malvaceae","Sterculia","foetida","Sterculia foetida","Tree",21.19,82.44,0.51,0.533784364,1,0,"No",0.25703542
"1E",216,"Erythroxylaceae","Erythroxylum","pulchrum","Erythroxylum pulchrum","Tree",12.84,28.33,1.07,0.063035185,1,0,"No",0.453229792
"1E",218,"Fabaceae","Piliostigma","reticulatum","Piliostigma reticulatum","Tree",6.68,12.73,0.76,0.012727605,1,0,"No",0.524744698
"1E",223,"Fabaceae","Bauhinia","purpurea","Bauhinia purpurea","Tree",4.6,16.49,0.72,0.021356555,1,0,"No",0.278956944
"1E",224,"Fabaceae","Bauhinia","aculeata","Bauhinia aculeata","Tree",4.56,18.08,0.76,0.025673598,1,0,"No",0.252212389
"1E",225,"Fabaceae","Delonix","regia","Delonix regia","Tree",3.29,18.68,0.58,0.027405872,1,0,"No",0.176124197
"2A",229,"Annonaceae","Monodora","myristica","Monodora myristica","Tree",14.5,95.20853901,0.49,0.711937195,3,1,"Yes",0.152297264
"2A",231,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",23.35,44.88,0.52,0.158196029,1,0,"No",0.520276292
"2A",232,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",24.28,58.25,0.52,0.266490506,1,0,"No",0.416824034
"2A",233,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",30,74.83,0.52,0.439785971,1,0,"No",0.400908726
"2A",234,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.08,61.91,0.52,0.301031186,1,0,"No",0.356646745
"2A",235,"Arecaceae","Roystonea","borinquena","Roystonea borinquena","Palm",11.18,49.08,0.52,0.189190354,1,0,"No",0.227791361
"2A",236,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.99,66.14,0.52,0.343572395,1,0,"No",0.347596008
"2A",237,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",32,71.56,0.52,0.40218933,1,0,"No",0.447177194
"2A",238,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.62,63.98,0.52,0.321498057,1,0,"No",0.353547984
"2A",239,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",32,73.59,0.52,0.425331441,1,0,"No",0.43484169
"2A",240,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",21.61,59.59,0.52,0.278892382,1,0,"No",0.362644739
"2A",241,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",32,71.94,0.52,0.406472107,1,0,"No",0.444815124
"2A",242,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.45,64.01,0.52,0.321799627,1,0,"No",0.350726449
"2B",247,"Chrysobalanaceae","Acioa","guianensis","Acioa guianensis","Tree",14.78,33.1,0.86,0.086049008,1,0,"No",0.44652568
"2B",250,"Euphorbiaceae","Hevea","spruceana","Hevea spruceana","Tree",13.8,64.68,0.4,0.32857151,1,0,"No",0.213358071
"2B",251,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",24.76,77.16,0.52,0.467599803,1,0,"No",0.320891654
"2B",252,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",21.04,68.82,0.52,0.371979681,1,0,"No",0.30572508
"2B",253,"Arecaceae","Roystonea","borinquena","Roystonea borinquena","Palm",11.12,46.22,0.52,0.167783699,1,0,"No",0.24058849
"2B",254,"Arecaceae","Roystonea","oleracea","Roystonea oleracea","Palm",22.89,68.56,0.52,0.369174333,1,0,"No",0.333868145
