"sec_cant","tombo","family","genus","species","name","habito_pad","altura","dap","densidade","n_caule","multicaule","multicaule_l","rel_hd","area_basal"
"2A",234,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.08,61.91,0.52,1,0,"No",0.3566467452754,0.30103118583214
"2A",235,"ARECACEAE","Roystonea","borinquena","Roystonea borinquena","Arborescent",11.18,49.08,0.52,1,0,"No",0.227791361043195,0.189190353846656
"2A",236,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.99,66.14,0.52,1,0,"No",0.347596008466888,0.343572395162287
"2A",237,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",32,71.56,0.52,1,0,"No",0.447177193963108,0.402189330450394
"2A",238,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.62,63.98,0.52,1,0,"No",0.35354798374492,0.321498057213692
"2A",239,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",32,73.59,0.52,1,0,"No",0.434841690447072,0.425331440764074
"2A",240,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21.61,59.59,0.52,1,0,"No",0.362644739050176,0.278892382402293
"2A",241,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",32,71.94,0.52,1,0,"No",0.444815123714206,0.406472106635401
"2A",242,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.45,64.01,0.52,1,0,"No",0.350726448992345,0.321799626546491
"2B",247,"CHRYSOBALANACEAE","Acioa","guianensis","Acioa guianensis","Tree",14.78,33.1,0.86,1,0,"No",0.446525679758308,0.0860490081799878
"2B",250,"EUPHORBIACEAE","Hevea","spruceana","Hevea spruceana","Tree",13.8,64.68,0.4,1,0,"No",0.213358070500928,0.328571510152882
"2B",251,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",24.76,77.16,0.52,1,0,"No",0.320891653706584,0.467599802772257
"2B",252,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21.04,68.82,0.52,1,0,"No",0.305725079918628,0.371979681245695
"2B",253,"ARECACEAE","Roystonea","borinquena","Roystonea borinquena","Arborescent",11.12,46.22,0.52,1,0,"No",0.240588489831242,0.167783698584727
"2B",254,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",22.89,68.56,0.52,1,0,"No",0.333868144690782,0.369174333253819
"2B",255,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",26.32,73.78,0.52,1,0,"No",0.35673624288425,0.427530579183531
"2C",256,"CHRYSOBALANACEAE","Microdesmia","rigida","Microdesmia rigida","Tree",14.25,61.12,0.89,1,0,"No",0.233147905759162,0.29339761048476
"2C",257,"POLYGONACEAE","Triplaris","americana","Triplaris americana","Tree",8.28,17.57,0.49,1,0,"No",0.471257825839499,0.0242456261491793
"2C",261,"MALVACEAE","Ceiba","pentandra","Ceiba pentandra","Tree",20.53,55.83,0.25,1,0,"No",0.367723446175891,0.244807735739023
"2C",266,"ROSACEAE","Eriobotrya","japonica","Eriobotrya japonica","Tree",6.12,19.89,0.88,1,0,"No",0.307692307692308,0.0310713016757808
"2C",267,"CHRYSOBALANACEAE","Microdesmia","rigida","Microdesmia rigida","Tree",8.51,23.11,0.89,1,0,"No",0.368238857637386,0.0419459246461818
"2C",270,"EUPHORBIACEAE","Hevea","brasiliensis","Hevea brasiliensis","Tree",17.94,87.47,0.48,1,0,"No",0.205098891048359,0.600908205501222
"2C",272,"HIPPOCRATEACEAE",NA,NA,"NA NA","Tree",5.42,19.44,0.62,1,0,"No",0.27880658436214,0.0296812647362918
"2C",279,"ARECACEAE","Sabal","bermudana","Sabal bermudana","Arborescent",10.05,32.15,0.54,1,0,"No",0.312597200622084,0.0811805213146279
"2B",280,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",31,70.47,0.52,1,0,"No",0.439903505037605,0.390030369425334
"2B",281,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",21.58,63.66,0.52,1,0,"No",0.338988375746151,0.318290114123258
"2B",282,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",13.7,63.6,0.52,1,0,"No",0.215408805031447,0.317690415501614
"2B",283,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",16.91,60.16,0.52,1,0,"No",0.281083776595745,0.284253313916103
"2B",284,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",12.58,62.2,0.52,1,0,"No",0.202250803858521,0.303857983047858
"2B",285,"ARECACEAE","Roystonea","oleracea","Roystonea oleracea","Arborescent",20.94,65.32,0.52,1,0,"No",0.320575627679118,0.335106022872348
"2B",289,"LEGUMINOSAE","Brownea","grandiceps","Brownea grandiceps","Tree",6.64,17.51,1.21,1,0,"No",0.379211878926328,0.0240803155437474
"2D",338,"PODOCARPACEAE","Podocarpus","sellowii","Podocarpus sellowii","Tree",4.63,10.57,0.48,1,0,"No",0.438032166508988,0.00877485312657636
"2E",346,"LEGUMINOSAE","Pentaclethra","macroloba","Pentaclethra macroloba","Tree",12.91,13.78,0.65,1,0,"No",0.936865021770682,0.014913800061048
"2E",348,"LEGUMINOSAE","Inga","marginata","Inga marginata","Tree",10.91,27.44,0.72,1,0,"No",0.397594752186589,0.0591368374563497
"2E",357,"ANACARDIACEAE","Spondias","mombin","Spondias mombin","Tree",21.9,99.5,0.35,1,0,"No",0.220100502512563,0.777563816717559
"2E",358,"ANACARDIACEAE","Spondias",NA,"Spondias NA","Tree",15.01,28.65,0.35,1,0,"No",0.5239092495637,0.0644672483975302
"2F",360,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",19.31,85.94,0.53,1,0,"No",0.224691645333954,0.580070233487465
"2F",362,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",19.73,85.94,0.53,1,0,"No",0.229578775890156,0.580070233487465
"2F",363,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",17.43,57.04,0.53,1,0,"No",0.305575035063114,0.255534130514046
"2F",364,"PRIMULACEAE",NA,NA,"NA NA","Tree",9.01,18.2736148585878,0.7,2,1,"Yes",0.493060627014677,0.0262264081712493
"2G",373,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",20.7,101.86,0.53,1,0,"No",0.203220106027881,0.814886691424442
"2G",374,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",21.15,60.99,0.53,1,0,"No",0.346778160354156,0.292150845878238
"2G",375,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",20.03,57.3,0.53,1,0,"No",0.34956369982548,0.257868993590121
"2G",376,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",21.51,88.49,0.53,1,0,"No",0.243078313933778,0.615004468906027
"2G",377,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",22.04,85.94,0.53,1,0,"No",0.256457993949267,0.580070233487465
"2H",388,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",22.08,77.03,0.53,1,0,"No",0.286641568220174,0.466025495715671
"2H",391,"MELIACEAE","Carapa","guianensis","Carapa guianensis","Tree",22.67,58.41,0.53,1,0,"No",0.388118472864236,0.267956498375147
"2H",398,"ROSACEAE","Prunus","padus","Prunus padus","Tree",8.52,14.39,0.46,1,0,"No",0.592077831827658,0.0162634047030853
